,category_id,median,country
0,1,2.0,USA
1,2,2.0,USA
2,10,1.0,USA
3,15,2.0,USA
4,17,1.0,USA
5,19,2.0,USA
6,20,1.0,USA
7,22,2.0,USA
8,23,1.0,USA
9,24,2.0,USA
10,25,1.0,USA
11,26,2.0,USA
12,27,2.0,USA
13,28,2.0,USA
14,29,3.0,USA
15,43,2.0,USA
0,1,1.0,MEX
1,2,1.0,MEX
2,10,1.0,MEX
3,15,1.0,MEX
4,17,1.0,MEX
5,19,1.0,MEX
6,20,1.0,MEX
7,22,1.0,MEX
8,23,1.0,MEX
9,24,1.0,MEX
10,25,1.0,MEX
11,26,1.0,MEX
12,27,1.0,MEX
13,28,1.0,MEX
14,29,0.0,MEX
15,43,1.0,MEX
0,1,1.0,RUS
1,2,1.0,RUS
2,10,1.0,RUS
3,15,1.0,RUS
4,17,1.0,RUS
5,19,1.0,RUS
6,20,1.0,RUS
7,22,1.0,RUS
8,23,1.0,RUS
9,24,1.0,RUS
10,25,1.0,RUS
11,26,1.0,RUS
12,27,1.0,RUS
13,28,1.0,RUS
14,29,1.0,RUS
15,30,1.0,RUS
16,43,1.0,RUS
0,1,1.0,JAP
1,2,1.0,JAP
2,10,1.0,JAP
3,15,1.0,JAP
4,17,1.0,JAP
5,19,1.0,JAP
6,20,1.0,JAP
7,22,1.0,JAP
8,23,1.0,JAP
9,24,1.0,JAP
10,25,1.0,JAP
11,26,1.0,JAP
12,27,1.0,JAP
13,28,1.0,JAP
14,29,1.0,JAP
0,1,1.0,SKR
1,2,1.0,SKR
2,10,1.0,SKR
3,15,1.0,SKR
4,17,1.0,SKR
5,19,1.0,SKR
6,20,1.0,SKR
7,22,1.0,SKR
8,23,1.0,SKR
9,24,1.0,SKR
10,25,1.0,SKR
11,26,1.0,SKR
12,27,1.0,SKR
13,28,2.0,SKR
14,29,1.0,SKR
15,43,1.0,SKR
16,44,2.0,SKR
0,1,1.0,IND
1,2,1.0,IND
2,10,1.0,IND
3,15,2.0,IND
4,17,1.0,IND
5,19,1.5,IND
6,20,1.0,IND
7,22,1.0,IND
8,23,1.0,IND
9,24,1.0,IND
10,25,1.0,IND
11,26,1.0,IND
12,27,1.0,IND
13,28,1.0,IND
14,29,1.0,IND
15,30,1.0,IND
16,43,1.0,IND
0,1,2.0,GB
1,2,2.0,GB
2,10,2.0,GB
3,15,4.0,GB
4,17,2.0,GB
5,19,3.0,GB
6,20,2.0,GB
7,22,3.0,GB
8,23,1.0,GB
9,24,2.0,GB
10,25,2.0,GB
11,26,2.0,GB
12,27,2.0,GB
13,28,2.0,GB
14,29,1.5,GB
0,1,1.0,FRA
1,2,1.0,FRA
2,10,1.0,FRA
3,15,1.0,FRA
4,17,1.0,FRA
5,19,1.0,FRA
6,20,1.0,FRA
7,22,1.0,FRA
8,23,1.0,FRA
9,24,1.0,FRA
10,25,1.0,FRA
11,26,1.0,FRA
12,27,1.0,FRA
13,28,1.0,FRA
14,29,1.0,FRA
15,30,1.0,FRA
16,43,1.0,FRA
17,44,4.0,FRA
0,1,1.0,DE
1,2,1.0,DE
2,10,1.0,DE
3,15,1.0,DE
4,17,1.0,DE
5,19,1.0,DE
6,20,1.0,DE
7,22,1.0,DE
8,23,1.0,DE
9,24,1.0,DE
10,25,1.0,DE
11,26,1.0,DE
12,27,1.0,DE
13,28,1.0,DE
14,29,1.0,DE
15,30,1.0,DE
16,43,1.0,DE
17,44,17.0,DE
0,1,1.0,CAN
1,2,1.0,CAN
2,10,1.0,CAN
3,15,1.0,CAN
4,17,1.0,CAN
5,19,1.0,CAN
6,20,1.0,CAN
7,22,1.0,CAN
8,23,1.0,CAN
9,24,1.0,CAN
10,25,1.0,CAN
11,26,1.0,CAN
12,27,1.0,CAN
13,28,1.0,CAN
14,29,1.0,CAN
15,30,0.0,CAN
16,43,1.0,CAN
